Variable,Categoría,Comuna,Valor
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 07,219
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 07,0
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 07,3
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 07,2
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 07,67
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 07,64
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 07,91
¿Cual es el sexo de...?,Hombre,Comuna 07,10842
¿Cual es el sexo de...?,Mujer,Comuna 07,12013
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 07,830
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 07,3355
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 07,892
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 07,184
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 07,207
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 07,1929
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 07,3178
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 07,89
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 07,7865
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 07,2170
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 07,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 07,674
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 07,22181
Estrato de esta vivienda,Estrato 1,Comuna 07,971
Estrato de esta vivienda,Estrato 2,Comuna 07,1660
Estrato de esta vivienda,Estrato 3,Comuna 07,15765
Estrato de esta vivienda,Estrato 4,Comuna 07,1760
Estrato de esta vivienda,Estrato 5,Comuna 07,397
Estrato de esta vivienda,Estrato 6,Comuna 07,2139
Estrato de esta vivienda,No sabe el estrato,Comuna 07,24
Estrato de esta vivienda,Sin estrato,Comuna 07,41
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 07,98
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 07,22757
La vivienda cuenta con servicios de Acueducto?,No,Comuna 07,453
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 07,22402
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 07,786
La vivienda cuenta con servicio de Alcantarillado?,Si,Comuna 07,22069
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No,Comuna 07,1644
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No informa,Comuna 07,135
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,Si,Comuna 07,21076
¿Cuántas veces por semana?,1 vez,Comuna 07,69
¿Cuántas veces por semana?,2 veces,Comuna 07,20945
¿Cuántas veces por semana?,3 veces,Comuna 07,1167
¿Cuántas veces por semana?,4 veces,Comuna 07,7
¿Cuántas veces por semana?,5 veces,Comuna 07,13
¿Cuántas veces por semana?,6 veces,Comuna 07,32
¿Cuántas veces por semana?,7 veces,Comuna 07,78
¿Cuántas veces por semana?,Mayor periodicidad,Comuna 07,21
¿Cuántas veces por semana?,No sabe,Comuna 07,52
La vivienda cuenta con servicio de Recolección de basuras?,No,Comuna 07,471
La vivienda cuenta con servicio de Recolección de basuras?,Si,Comuna 07,22384
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No,Comuna 07,3733
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No informa,Comuna 07,135
La vivienda cuenta con servicio de internet (Fijo o Movil)?,Si,Comuna 07,18987
Condición de ocupación de la Vivienda,Ocupada con personas presentes,Comuna 07,22855
Material predominante de las paredes exteriores de la vivienda,"Bloque, ladrillo, piedra, madera pulida",Comuna 07,20736
Material predominante de las paredes exteriores de la vivienda,"Caña, esterilla, otros vegetales",Comuna 07,48
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 07,1460
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 07,47
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 07,219
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 07,147
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 07,25
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 07,0
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 07,173
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 07,19628
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 07,761
Material predominante de los pisos de esta vivienda,"Madera burda, tabla, tablon, otro vegetal",Comuna 07,765
Material predominante de los pisos de esta vivienda,"Marmol, parque, madera pulida y lacada",Comuna 07,1473
Material predominante de los pisos de esta vivienda,"Tierra, arena, barro",Comuna 07,161
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Esta vivienda No tiene servicio sanitario?,Comuna 07,48
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro con descarga directa a fuentes de agua (bajamar)?,Comuna 07,216
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado a pozo séptico?,Comuna 07,488
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado al alcantarillado?,Comuna 07,21838
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro sin conexión?,Comuna 07,132
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Letrina?,Comuna 07,4
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,No informa,Comuna 07,129
Tipo vivienda,Apartamento,Comuna 07,5736
Tipo vivienda,Casa,Comuna 07,16804
Tipo vivienda,"Otro (Contenedor, carpa, embarcación, vagon, cueva, refugio natural, etc",Comuna 07,0
Tipo vivienda,Tipo cuarto,Comuna 07,291
Tipo vivienda,Vivienda tradicional Indígena,Comuna 07,24
Tipo vivienda,"Vivienda tradicional Étnica (Afrocolombiana, Isleña, Rrom)",Comuna 07,0
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 08,25338
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 08,1955
Fuente para preparar los alimentos,Acueducto público?,Comuna 08,26033
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 08,129
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 08,38
Fuente para preparar los alimentos,Agua lluvia?,Comuna 08,91
Fuente para preparar los alimentos,Aguatero?,Comuna 08,12
Fuente para preparar los alimentos,Carrotanque?,Comuna 08,1
Fuente para preparar los alimentos,No informa,Comuna 08,281
Fuente para preparar los alimentos,Pila pública?,Comuna 08,2
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 08,148
Fuente para preparar los alimentos,"Pozo sin bomba, aljibe, jaguey o barreno?",Comuna 08,98
Fuente para preparar los alimentos,Red de distribución comunitaria?,Comuna 08,126
Fuente para preparar los alimentos,"RÍo, quebrada, manantial, nacimiento?",Comuna 08,86
Lugar donde preparan los alimentos,En un cuarto usado solo para cocinar?,Comuna 08,25612
Lugar donde preparan los alimentos,En un cuarto usado también para dormir?,Comuna 08,162
Lugar donde preparan los alimentos,"En un patio, corredor, enramada o al aire libre?",Comuna 08,132
Lugar donde preparan los alimentos,En una sala-comedor con lavaplatos?,Comuna 08,1032
Lugar donde preparan los alimentos,En una sala-comedor sin lavaplatos?,Comuna 08,26
Lugar donde preparan los alimentos,No informa,Comuna 08,81
Lugar donde preparan los alimentos,No preparan alimentos en la vivienda?,Comuna 08,248
¿En general considera que la calidad de la prestación del servicio de salud reci,Bueno,Comuna 08,1144
¿En general considera que la calidad de la prestación del servicio de salud reci,Malo,Comuna 08,245
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy Malo,Comuna 08,90
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy bueno,Comuna 08,677
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No,Comuna 08,19085
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No informa,Comuna 08,429
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",Sí,Comuna 08,6929
Ha tenido algún hijo(a) nacido vivo(a),No,Comuna 08,5608
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 08,297
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 08,8304
¿Lo atendieron?,No,Comuna 08,46
¿Lo atendieron?,No informa,Comuna 08,0
¿Lo atendieron?,Sí,Comuna 08,2156
¿Donde nacio?,En este mpio,Comuna 08,14731
¿Donde nacio?,En otro mpio Colombiano,Comuna 08,11639
¿Donde nacio?,En otro país,Comuna 08,524
¿Donde nacio?,No Informa,Comuna 08,399
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 08,25518
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 08,961
¿En donde vivía hace 12 meses ?,En otro país,Comuna 08,238
¿En donde vivía hace 12 meses ?,No Informa,Comuna 08,418
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 08,158
¿En donde vivía hace 5 años ?,En este mpio,Comuna 08,22241
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 08,3141
¿En donde vivía hace 5 años ?,En otro país,Comuna 08,635
¿En donde vivía hace 5 años ?,No Informa,Comuna 08,566
¿En donde vivía hace 5 años ?,No había nacido,Comuna 08,710
¿Sabe leer y escribir?,No,Comuna 08,381
¿Sabe leer y escribir?,No informa,Comuna 08,418
¿Sabe leer y escribir?,Sí,Comuna 08,25644
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 08,850
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 08,902
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 08,1001
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 08,12
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 08,1656
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 08,2282
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 08,2021
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 08,1820
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 08,1773
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 08,1520
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 08,1558
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 08,2004
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 08,2280
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 08,2213
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 08,1844
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 08,1347
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 08,917
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 08,663
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 08,400
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 08,191
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 08,39
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 08,23725
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 08,403
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 08,3165
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 08,9154
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 08,865
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 08,400
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 08,990
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 08,443
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 08,9605
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 08,2385
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 08,1699
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 08,2501
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 08,2075
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 08,705
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 08,5254
¿Cuál es el nivel educativo más alto alcanzado?,Media academica o clasica,Comuna 08,4189
¿Cuál es el nivel educativo más alto alcanzado?,Media tecnica,Comuna 08,322
¿Cuál es el nivel educativo más alto alcanzado?,Ninguno,Comuna 08,439
¿Cuál es el nivel educativo más alto alcanzado?,No informa,Comuna 08,518
¿Cuál es el nivel educativo más alto alcanzado?,Normalista,Comuna 08,139
¿Cuál es el nivel educativo más alto alcanzado?,Preescolar,Comuna 08,272
¿Cuál es el nivel educativo más alto alcanzado?,Técnica profesional o Tecnológica,Comuna 08,2046
¿Cuál es el nivel educativo más alto alcanzado?,Universitario,Comuna 08,8688
Parentesco con el jefe del hogar,"Hijo(a), Hijastro(a)",Comuna 08,7124
Parentesco con el jefe del hogar,Jefe(a) del hogar,Comuna 08,11772
Parentesco con el jefe del hogar,Otros NO parientes,Comuna 08,724
Parentesco con el jefe del hogar,Otros Parientes,Comuna 08,2425
Parentesco con el jefe del hogar,"Pareja (Conyuge, compañero(a), esposo(a))",Comuna 08,5248
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a la entidad de seguridad social en salud de la cual es filiado(a)?,Comuna 08,2202
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a otro médico de un grupo étnico? (curandero, yerbatero, etc.)",Comuna 08,0
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un boticario, farmacéuta, droguista?",Comuna 08,29
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 08,636
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 08,1
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 08,11
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 08,0
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 08,61
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 08,73
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 08,152
¿Cual es el sexo de...?,Hombre,Comuna 08,12234
¿Cual es el sexo de...?,Mujer,Comuna 08,15059
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 08,639
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 08,3691
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 08,1452
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 08,235
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 08,481
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 08,874
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 08,2778
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 08,155
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 08,11185
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 08,4051
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 08,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 08,241
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 08,27052
Estrato de esta vivienda,Estrato 1,Comuna 08,998
Estrato de esta vivienda,Estrato 2,Comuna 08,835
Estrato de esta vivienda,Estrato 3,Comuna 08,1178
Estrato de esta vivienda,Estrato 4,Comuna 08,1813
Estrato de esta vivienda,Estrato 5,Comuna 08,7497
Estrato de esta vivienda,Estrato 6,Comuna 08,14641
Estrato de esta vivienda,No sabe el estrato,Comuna 08,89
Estrato de esta vivienda,Sin estrato,Comuna 08,42
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 08,200
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 08,27093
La vivienda cuenta con servicios de Acueducto?,No,Comuna 08,501
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 08,26792
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 08,755
La vivienda cuenta con servicio de Alcantarillado?,Si,Comuna 08,26538
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No,Comuna 08,2409
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No informa,Comuna 08,268
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,Si,Comuna 08,24616
¿Cuántas veces por semana?,1 vez,Comuna 08,361
¿Cuántas veces por semana?,2 veces,Comuna 08,23478
¿Cuántas veces por semana?,3 veces,Comuna 08,1953
¿Cuántas veces por semana?,4 veces,Comuna 08,90
¿Cuántas veces por semana?,5 veces,Comuna 08,86
¿Cuántas veces por semana?,6 veces,Comuna 08,69
¿Cuántas veces por semana?,7 veces,Comuna 08,103
¿Cuántas veces por semana?,Mayor periodicidad,Comuna 08,20
¿Cuántas veces por semana?,No sabe,Comuna 08,465
La vivienda cuenta con servicio de Recolección de basuras?,No,Comuna 08,668
La vivienda cuenta con servicio de Recolección de basuras?,Si,Comuna 08,26625
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No,Comuna 08,2722
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No informa,Comuna 08,270
La vivienda cuenta con servicio de internet (Fijo o Movil)?,Si,Comuna 08,24301
Condición de ocupación de la Vivienda,Ocupada con personas presentes,Comuna 08,27293
Material predominante de las paredes exteriores de la vivienda,"Bloque, ladrillo, piedra, madera pulida",Comuna 08,23107
Material predominante de las paredes exteriores de la vivienda,"Caña, esterilla, otros vegetales",Comuna 08,44
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 08,3588
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 08,8
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 08,308
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 08,68
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 08,30
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 08,0
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 08,140
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 08,16950
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 08,769
Material predominante de los pisos de esta vivienda,"Madera burda, tabla, tablon, otro vegetal",Comuna 08,1142
Material predominante de los pisos de esta vivienda,"Marmol, parque, madera pulida y lacada",Comuna 08,7480
Material predominante de los pisos de esta vivienda,"Tierra, arena, barro",Comuna 08,247
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Esta vivienda No tiene servicio sanitario?,Comuna 08,150
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro con descarga directa a fuentes de agua (bajamar)?,Comuna 08,32
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado a pozo séptico?,Comuna 08,578
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado al alcantarillado?,Comuna 08,26193
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro sin conexión?,Comuna 08,40
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Letrina?,Comuna 08,37
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,No informa,Comuna 08,263
Tipo vivienda,Apartamento,Comuna 08,17098
Tipo vivienda,Casa,Comuna 08,9617
Tipo vivienda,"Otro (Contenedor, carpa, embarcación, vagon, cueva, refugio natural, etc",Comuna 08,18
Tipo vivienda,Tipo cuarto,Comuna 08,484
Tipo vivienda,Vivienda tradicional Indígena,Comuna 08,69
Tipo vivienda,"Vivienda tradicional Étnica (Afrocolombiana, Isleña, Rrom)",Comuna 08,7
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 09,30325
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 09,3665
Fuente para preparar los alimentos,Acueducto público?,Comuna 09,32726
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 09,229
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 09,30
Fuente para preparar los alimentos,Agua lluvia?,Comuna 09,73
Fuente para preparar los alimentos,Aguatero?,Comuna 09,8
Fuente para preparar los alimentos,Carrotanque?,Comuna 09,24
Fuente para preparar los alimentos,No informa,Comuna 09,112
Fuente para preparar los alimentos,Pila pública?,Comuna 09,3
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 09,143
Fuente para preparar los alimentos,"Pozo sin bomba, aljibe, jaguey o barreno?",Comuna 09,71
Fuente para preparar los alimentos,Red de distribución comunitaria?,Comuna 09,193
Fuente para preparar los alimentos,"RÍo, quebrada, manantial, nacimiento?",Comuna 09,265
Lugar donde preparan los alimentos,En un cuarto usado solo para cocinar?,Comuna 09,32388
Lugar donde preparan los alimentos,En un cuarto usado también para dormir?,Comuna 09,264
Lugar donde preparan los alimentos,"En un patio, corredor, enramada o al aire libre?",Comuna 09,183
Lugar donde preparan los alimentos,En una sala-comedor con lavaplatos?,Comuna 09,923
Lugar donde preparan los alimentos,En una sala-comedor sin lavaplatos?,Comuna 09,76
Lugar donde preparan los alimentos,No informa,Comuna 09,43
Lugar donde preparan los alimentos,No preparan alimentos en la vivienda?,Comuna 09,113
¿En general considera que la calidad de la prestación del servicio de salud reci,Bueno,Comuna 09,2197
¿En general considera que la calidad de la prestación del servicio de salud reci,Malo,Comuna 09,530
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy Malo,Comuna 09,128
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy bueno,Comuna 09,815
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No,Comuna 09,23773
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No informa,Comuna 09,281
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",Sí,Comuna 09,8218
Ha tenido algún hijo(a) nacido vivo(a),No,Comuna 09,5382
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 09,241
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 09,10857
¿Lo atendieron?,No,Comuna 09,86
¿Lo atendieron?,No informa,Comuna 09,0
¿Lo atendieron?,Sí,Comuna 09,3670
¿Donde nacio?,En este mpio,Comuna 09,21735
¿Donde nacio?,En otro mpio Colombiano,Comuna 09,11746
¿Donde nacio?,En otro país,Comuna 09,253
¿Donde nacio?,No Informa,Comuna 09,256
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 09,32606
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 09,663
¿En donde vivía hace 12 meses ?,En otro país,Comuna 09,141
¿En donde vivía hace 12 meses ?,No Informa,Comuna 09,268
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 09,312
¿En donde vivía hace 5 años ?,En este mpio,Comuna 09,29362
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 09,2320
¿En donde vivía hace 5 años ?,En otro país,Comuna 09,312
¿En donde vivía hace 5 años ?,No Informa,Comuna 09,367
¿En donde vivía hace 5 años ?,No había nacido,Comuna 09,1629
¿Sabe leer y escribir?,No,Comuna 09,1235
¿Sabe leer y escribir?,No informa,Comuna 09,279
¿Sabe leer y escribir?,Sí,Comuna 09,30758
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 09,1718
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 09,1787
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 09,1984
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 09,5
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 09,2593
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 09,3344
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 09,2878
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 09,2268
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 09,2289
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 09,2044
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 09,2343
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 09,2542
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 09,2151
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 09,1798
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 09,1407
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 09,1014
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 09,772
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 09,575
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 09,316
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 09,136
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 09,26
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 09,29129
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 09,248
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 09,4613
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 09,7191
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 09,283
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 09,235
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 09,1265
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 09,835
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 09,13306
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 09,5692
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 09,1678
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 09,8612
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 09,5196
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 09,80
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 09,502
